range,codepoint,char,unicode_name,image_file
Ancient Greek Musical Notation,U+1D22B,𝈫,GREEK INSTRUMENTAL NOTATION SYMBOL-24,images/U+1D22B_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-24.png
Ancient Greek Musical Notation,U+1D22C,𝈬,GREEK INSTRUMENTAL NOTATION SYMBOL-25,images/U+1D22C_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-25.png
Ancient Greek Musical Notation,U+1D22D,𝈭,GREEK INSTRUMENTAL NOTATION SYMBOL-26,images/U+1D22D_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-26.png
Ancient Greek Musical Notation,U+1D22E,𝈮,GREEK INSTRUMENTAL NOTATION SYMBOL-27,images/U+1D22E_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-27.png
Ancient Greek Musical Notation,U+1D22F,𝈯,GREEK INSTRUMENTAL NOTATION SYMBOL-29,images/U+1D22F_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-29.png
Ancient Greek Musical Notation,U+1D230,𝈰,GREEK INSTRUMENTAL NOTATION SYMBOL-30,images/U+1D230_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-30.png
Ancient Greek Musical Notation,U+1D231,𝈱,GREEK INSTRUMENTAL NOTATION SYMBOL-32,images/U+1D231_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-32.png
Ancient Greek Musical Notation,U+1D232,𝈲,GREEK INSTRUMENTAL NOTATION SYMBOL-36,images/U+1D232_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-36.png
Ancient Greek Musical Notation,U+1D233,𝈳,GREEK INSTRUMENTAL NOTATION SYMBOL-37,images/U+1D233_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-37.png
Ancient Greek Musical Notation,U+1D234,𝈴,GREEK INSTRUMENTAL NOTATION SYMBOL-38,images/U+1D234_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-38.png
Ancient Greek Musical Notation,U+1D235,𝈵,GREEK INSTRUMENTAL NOTATION SYMBOL-39,images/U+1D235_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-39.png
Ancient Greek Musical Notation,U+1D236,𝈶,GREEK INSTRUMENTAL NOTATION SYMBOL-40,images/U+1D236_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-40.png
Ancient Greek Musical Notation,U+1D237,𝈷,GREEK INSTRUMENTAL NOTATION SYMBOL-42,images/U+1D237_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-42.png
Ancient Greek Musical Notation,U+1D238,𝈸,GREEK INSTRUMENTAL NOTATION SYMBOL-43,images/U+1D238_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-43.png
Ancient Greek Musical Notation,U+1D239,𝈹,GREEK INSTRUMENTAL NOTATION SYMBOL-45,images/U+1D239_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-45.png
Ancient Greek Musical Notation,U+1D23A,𝈺,GREEK INSTRUMENTAL NOTATION SYMBOL-47,images/U+1D23A_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-47.png
Ancient Greek Musical Notation,U+1D23B,𝈻,GREEK INSTRUMENTAL NOTATION SYMBOL-48,images/U+1D23B_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-48.png
Ancient Greek Musical Notation,U+1D23C,𝈼,GREEK INSTRUMENTAL NOTATION SYMBOL-49,images/U+1D23C_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-49.png
Ancient Greek Musical Notation,U+1D23D,𝈽,GREEK INSTRUMENTAL NOTATION SYMBOL-50,images/U+1D23D_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-50.png
Ancient Greek Musical Notation,U+1D23E,𝈾,GREEK INSTRUMENTAL NOTATION SYMBOL-51,images/U+1D23E_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-51.png
Ancient Greek Musical Notation,U+1D23F,𝈿,GREEK INSTRUMENTAL NOTATION SYMBOL-52,images/U+1D23F_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-52.png
Ancient Greek Musical Notation,U+1D240,𝉀,GREEK INSTRUMENTAL NOTATION SYMBOL-53,images/U+1D240_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-53.png
Ancient Greek Musical Notation,U+1D241,𝉁,GREEK INSTRUMENTAL NOTATION SYMBOL-54,images/U+1D241_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-54.png
Ancient Greek Musical Notation,U+1D242,𝉂,COMBINING GREEK MUSICAL TRISEME,images/U+1D242_COMBINING_GREEK_MUSICAL_TRISEME.png
Ancient Greek Musical Notation,U+1D243,𝉃,COMBINING GREEK MUSICAL TETRASEME,images/U+1D243_COMBINING_GREEK_MUSICAL_TETRASEME.png
Ancient Greek Musical Notation,U+1D244,𝉄,COMBINING GREEK MUSICAL PENTASEME,images/U+1D244_COMBINING_GREEK_MUSICAL_PENTASEME.png
Ancient Greek Musical Notation,U+1D245,𝉅,GREEK MUSICAL LEIMMA,images/U+1D245_GREEK_MUSICAL_LEIMMA.png
